Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
El Salvador,16181878195,17994429085,18545690451,18734245499,19177294793,19824624009,20255430803,20688070305,21313885633,22200966540,20002937559,23213085150
Equatorial Guinea,2497127735,4834625235,5048084606,6414033564,6820270089,5588954926,4842453710,4475490551,4869805056,3935862767,3851081315,4765088217
Eritrea,1420136166,1455413450,,,,,,,,,,
Estonia,15022263280,18192460577,18224551545,20185636012,21396732401,18469479757,19569221534,21869761032,24925047862,25294350709,25437878242,29895880046
Eswatini,3348330552,3382387433,3300427854,3272468992,3175709072,2950018703,2748766382,3201495367,3509458795,3144319569,2816719821,3482722072
Ethiopia,22294529930,23258760583,31998806867,35448578251,42605775685,49659215180,58385906771,65359461545,70731968226,82027923371,92691294404,96072352512
Faroe Islands,,,,,,,,,,,,
Fiji,2755543307,3188678247,3335040622,3637203589,4013577986,3804874915,4051733590,4258676840,4511182596,4327564743,3616986133,3467195322
Finland,2.05396E+11,2.25176E+11,2.09582E+11,2.1995E+11,2.2474E+11,1.92298E+11,1.96715E+11,2.08427E+11,2.25387E+11,2.18984E+11,2.23423E+11,2.46111E+11
France,2.23673E+12,2.42999E+12,2.25828E+12,2.36788E+12,2.40279E+12,2.05692E+12,2.08204E+12,2.18599E+12,2.34791E+12,2.28415E+12,2.15702E+12,2.47271E+12
French Polynesia,,,,,,,,,,,,
Gabon,6399998634,7658355122,7617685278,8900028773,11032548275,9341818787,9221282537,9392194194,10277665655,10153886402,9909584145,10548966347
"Gambia, The",1216225063,1055568112,1037438006,1011544028,914077402.2,1018306625,1083014873,1108628009,1319553049,1426013120,1434283006,1607615266
Georgia,10276863402,12586125897,14039474148,14514873707,15022663538,12416573085,12150187537,13075896029,14398969484,14144523113,13028102734,15149562721
Germany,2.85271E+12,3.17598E+12,2.97254E+12,3.14085E+12,3.26817E+12,2.83097E+12,2.93686E+12,3.12116E+12,3.38708E+12,3.30029E+12,3.24686E+12,3.57597E+12
Ghana,26184963835,29976365278,30922113346,50641289397,41988434252,38995841410,44848951918,47030490370,53349589399,54482879880,59064018706,59884261177
Gibraltar,,,,,,,,,,,,
Greece,2.40687E+11,2.25083E+11,2.00005E+11,1.95666E+11,1.96042E+11,1.62793E+11,1.60598E+11,1.67199E+11,1.7706E+11,1.73208E+11,1.57855E+11,1.82452E+11
Greenland,,,,,,,,,,,,
Grenada,,,,,,,,,,,,
Guam,,,,,,,,,,,,
Guatemala,34479158283,39537192492,42449809892,45195787000,49174586532,53549541410,56360882846,60997082860,62858914184,66530789792,67054226186,73724408676
Guinea,5634084270,5510748121,6175644142,6527904200,6884845462,7078318096,6744862263,8267403381,9411133315,10875732300,10711711457,11717268332
Guinea-Bissau,667402441.1,897205120.6,764875681.9,784960528,833227270.5,812203403.9,932708435.3,1078084957,1235438031,1260681041,1231382388,1395970355
Guyana,2932205080,3091483771,3447283721,3597206691,3659276201,3873046275,3772290962,4103267486,4334632297,4710553073,4554729587,5116380908
Haiti,11307919571,12424718996,13080133524,14193197762,14474905993,14263278677,13244557184,14189148061,15620589397,13994089544,13673208283,19746452204
Honduras,13830153442,15759436507,16210971264,16175096884,17068841885,18441270584,18939541147,20477188994,20913806158,21898573172,21220622290,24740496571
"Hong Kong SAR, China",,,,,,,,,,,,
Hungary,1.01846E+11,1.09108E+11,99336150097,1.07129E+11,1.10363E+11,98263129324,1.03708E+11,1.13926E+11,1.28606E+11,1.33395E+11,1.25892E+11,1.437E+11
Iceland,,10238665075,10357251630,12660499215,14132668943,13982660975,16743162412,19998555597,20608359023,20726782364,17593663696,20192232160
India,1.4494E+12,1.56951E+12,1.57609E+12,1.60269E+12,1.7671E+12,1.8392E+12,1.99158E+12,2.32623E+12,2.36329E+12,2.47935E+12,2.29724E+12,2.69707E+12
Indonesia,5.66234E+11,6.59868E+11,6.89396E+11,6.88616E+11,6.7135E+11,6.63589E+11,7.36332E+11,7.85282E+11,7.89841E+11,8.39487E+11,8.06179E+11,8.82649E+11
"Iran, Islamic Rep.",4.06571E+11,5.22436E+11,5.27442E+11,3.95409E+11,3.66951E+11,3.24878E+11,3.71088E+11,3.85351E+11,2.38242E+11,2.13233E+11,1.81772E+11,2.63717E+11
Iraq,1.10252E+11,1.40037E+11,1.68366E+11,1.82193E+11,1.74463E+11,1.31644E+11,1.31988E+11,1.44188E+11,1.6824E+11,1.77767E+11,1.49132E+11,1.60735E+11
Ireland,1.54694E+11,1.61181E+11,1.49727E+11,1.65765E+11,1.80441E+11,1.60914E+11,1.71109E+11,1.83133E+11,2.02715E+11,2.08709E+11,1.99284E+11,2.49681E+11
Isle of Man,,,,,,,,,,,,
Israel,1.97218E+11,2.22604E+11,2.15124E+11,2.47449E+11,2.65483E+11,2.55274E+11,2.71443E+11,3.04537E+11,3.20425E+11,3.41552E+11,3.45576E+11,4.07604E+11
Italy,1.7554E+12,1.88091E+12,1.70062E+12,1.74338E+12,1.76658E+12,1.49006E+12,1.54912E+12,1.62649E+12,1.74605E+12,1.67308E+12,1.55645E+12,1.75516E+12
Jamaica,11615846097,12695036023,13366437704,12729201461,12433969229,12617329170,12366002304,13240977878,13911271154,14183306140,12402225278,13302280442
Japan,4.47673E+12,4.8646E+12,4.91379E+12,4.1279E+12,3.88739E+12,3.56075E+12,3.99911E+12,3.95322E+12,4.03113E+12,4.08819E+12,3.95114E+12,3.83581E+12
Jordan,24873719889,26958672173,28928339966,31763714545,33914318782,35475271836,36550861194,38928749592,40724060109,42516475726,41896497954,43544134322
Kazakhstan,95179461452,1.19688E+11,1.34824E+11,1.63332E+11,1.54128E+11,1.41739E+11,1.02341E+11,1.1995E+11,1.20756E+11,1.24245E+11,1.26958E+11,1.25621E+11
Kenya,33602347935,35405122401,42444026300,45843438028,50508231488,52755240542,62816973524,68347108990,77713133606,85831083413,85842420676,95240841983
Kiribati,215166405.8,237450576.8,272144147.9,288495013.8,321669146,337864889.1,304421703.9,345508343,351973077.6,359490191.2,322777772.8,359689526.7
"Korea, Dem. People's Rep.",,,,,,,,,,,,
"Korea, Rep.",9.38428E+11,1.0276E+12,1.04843E+12,1.1202E+12,1.2106E+12,1.19635E+12,1.22721E+12,1.32978E+12,1.40504E+12,1.33716E+12,1.31931E+12,1.45259E+12
Kosovo,,,,,,,,,,,,
