Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Czechia,1516.048584,1654.510132,1515.81604,1514.014038,1516.056274,1314.83728,1384.663574,1525.3479,1753.198975,1803.05249,2119.268311,2498.516602
Denmark,6171,6438,6168,6334,6467,5532,5624,5834,6233,6059,6442,7382
Djibouti,56.37421417,62.67469025,65.69985962,61.38714981,66.44046021,80.65351105,69.79541779,65.55883026,64.47797394,62.30675125,62.75099945,87.74766541
Dominica,370.3132935,388.8713074,408.7749023,387.0828857,394.6729431,398.5212402,421.3217773,404.6090393,484.5222168,442.5115967,420.0245972,482.429657
Dominican Republic,271.2666321,295.194397,305.4364624,303.3797913,313.4575195,322.9460754,329.1087952,337.6092529,327.9010925,346.5079041,354.0936279,416.8997498
Early-demographic dividend,138.3348718,154.2690324,160.8730666,167.204137,166.5116435,164.8971877,162.8700359,168.3711486,167.3638919,165.9748169,167.2187747,190.7697075
East Asia & Pacific,480.0464805,589.6722608,628.5681805,604.7535361,619.2422152,605.8202296,639.3748678,671.9870626,727.4112502,759.5985547,792.7727338,876.0408905
East Asia & Pacific (excluding high income),161.0246961,201.1456232,234.5235024,265.0631401,288.7381388,308.6512277,313.9166169,344.2002206,390.1529967,416.3588575,447.9977047,515.724729
East Asia & Pacific (IDA & IBRD countries),161.0365411,201.156968,234.5371801,265.0773213,288.7529166,308.6680148,313.9347556,344.2191628,390.1720545,416.3777018,448.0166774,515.7439182
Ecuador,288.6725464,342.3848877,389.7561035,416.3429565,435.5133057,466.2375183,450.8292542,470.8032837,494.7149048,484.3680725,471.8757629,494.3083801
"Egypt, Arab Rep.",107.4189224,118.6961212,142.7594147,142.5976868,158.2058106,173.5194397,145.2776947,107.9884796,120.223259,145.3102875,150.9065552,179.6811981
El Salvador,268.6670837,293.3677063,298.7254028,321.8266296,312.8674622,329.4425049,337.2749023,335.7371216,345.0518189,377.0255737,354.4869995,442.2137451
Equatorial Guinea,241.6699982,266.6874695,284.0835266,289.6793518,294.7608948,229.1193543,229.7630615,231.0456543,248.6920013,231.8395386,246.7667389,255.5652466
Eritrea,24.43300056,33.27035522,25.96233749,29.52669525,31.54170799,26.82466125,23.64590836,22.35861588,24.02440262,25.98394394,24.70353127,25.36040497
Estonia,966.1902466,1061.162842,1058.719604,1194.862061,1287.76123,1156.202759,1226.085938,1350.126465,1553.433472,1599.350342,1789.03479,2094.503174
Eswatini,346.7011719,369.3705444,343.8296814,306.5707703,285.0514221,252.6778259,227.801651,267.0704651,266.4542236,274.9450989,222.5315857,279.9143066
Ethiopia,16.40672684,14.83500671,20.28753662,19.53577042,21.90294838,23.53430557,24.67317772,24.51061249,23.84538269,26.22917175,28.69671059,26.47735214
Euro area,3814.889146,4075.642524,3801.611587,3979.128208,4067.477789,3496.661505,3561.533119,3753.006727,4042.977625,3989.301751,4261.994081,4787.3901
Europe & Central Asia,2192.755376,2374.375349,2276.96593,2378.017479,2426.12031,2099.721385,2091.541129,2188.058845,2340.778059,2330.077812,2521.784142,2868.789414
Europe & Central Asia (excluding high income),311.9176031,331.2848487,346.9358947,368.2305974,346.4861057,295.225495,290.5573662,290.6137834,285.3766946,300.5844958,317.7226969,377.4655911
Europe & Central Asia (IDA & IBRD countries),456.2084955,507.3279887,532.669273,567.2917457,537.3003439,418.1720512,407.802325,456.7512152,475.8373942,502.5745903,554.5205042,659.3181452
European Union,3270.555985,3525.836777,3300.528712,3462.301789,3538.024579,3044.856649,3106.870377,3281.333019,3537.574946,3493.603062,3736.950883,4215.433322
Faroe Islands,,,,,,,,,,,,
Fiji,128.3963776,141.6560364,154.2161713,159.0212402,178.7059937,169.7298126,176.0686188,185.6439209,249.3664856,253.7433014,231.9827728,250.0255432
Finland,4252,4718,4573,4892,4923,4128,4109,4236,4522,4460,4736,5488
Fragile and conflict affected situations,67.12695455,72.62163409,75.65487692,81.29210762,80.31990265,72.16346683,70.27688348,68.75899817,73.33408602,73.4483072,75.18372788,82.12692052
France,4592.383301,4931.87793,4644.595703,4884.766602,4980.814941,4201.781738,4256.765625,4410.599121,4666.97998,4504.484863,4755.44043,5380.875
French Polynesia,,,,,,,,,,,,
Gabon,207.9378357,262.7745667,226.3252716,262.7824402,234.4215241,188.4241791,208.9052429,193.9759216,211.2257233,208.2883453,228.0245819,233.8710327
"Gambia, The",32.81699753,30.82727623,29.30704689,25.33724403,17.14346313,19.42744446,20.47114944,21.2003746,22.84936142,22.83255005,26.24802017,24.62883568
Georgia,290,317,349,358,369,294,321,304,332,309,355,417
Germany,4611.421875,5037.491699,4765.678711,5100.152344,5309.154785,4627.35791,4746.870117,5070.195801,5511.214355,5486.98877,5936.251465,6626.004883
Ghana,71.6121521,95.87026215,83.48946381,104.8143082,78.03632355,77.74266815,64.43041229,74.56986237,82.98774719,93.18772125,87.4445343,100.0009689
Gibraltar,,,,,,,,,,,,
Greece,2564.369385,2338.915039,1948.248535,1832.029663,1700.494385,1481.419678,1513.259155,1509.784546,1603.077881,1569.029053,1675.117065,1845.775635
Greenland,,,,,,,,,,,,
Grenada,366.4102783,393.2111206,401.8450623,405.3950195,368.8138428,389.3938294,392.7798157,433.4851379,438.918396,487.6029053,469.0077515,505.4046326
Guam,,,,,,,,,,,,
Guatemala,174.7947388,190.7144928,200.3355408,198.3376617,216.795044,233.4156647,246.1173096,265.1839905,265.747345,278.5489807,289.1265564,340.9581299
Guinea,22.8732872,24.42393684,23.99205208,26.22439003,37.0862999,43.94221497,38.91920853,33.02272034,35.30637741,42.68258667,41.6195488,44.68689728
Guinea-Bissau,31.5948391,44.70295334,37.72527695,46.01106644,64.91837311,52.38645935,56.52604294,54.74217224,58.78644943,54.0177002,68.04572296,68.81868744
Guyana,162.9921722,186.5948181,202.51857,212.0263519,216.9332428,228.0209503,237.3030548,268.69104,298.9507446,317.6022644,377.8699951,470.5687866
Haiti,55.5110321,76.81674194,74.79749298,59.15798187,64.86157227,68.24273682,59.83052063,53.5790062,62.01782608,49.08563995,44.17983627,57.87849426
Heavily indebted poor countries (HIPC),40.5734212,44.53316396,45.18331174,49.03674641,49.49281274,46.9278767,46.38486489,45.94984535,45.76656655,47.04427635,48.01280141,51.8647974
High income,4070.05972,4385.186291,4404.926427,4433.310374,4558.419309,4381.379319,4518.896679,4686.017294,4919.762529,5022.114206,5460.624729,5832.722468
Honduras,163.5370483,180.5815735,182.4237213,175.01651,171.3048096,168.9259338,176.973114,168.3921661,177.6466675,184.0391846,212.6973114,253.918045
"Hong Kong SAR, China",,,,,,,,,,,,
Hungary,983,1063,961,991,1006,871,914,985,1080,1054,1173,1382
IBRD only,,,,,,,,,,,,
Iceland,3612,3911,3760,4069,4488,4270,5016,5945,6234,5865,5652,6716
IDA & IBRD total,186.0193096,214.7691874,227.8761319,244.3768387,249.5876159,237.3588869,235.9339402,256.1484427,268.7862344,275.8428503,281.7793009,321.5307627
IDA blend,,,,,,,,,,,,
IDA only,,,,,,,,,,,,
